index,gdp_per_capita,country
0,175062,108
1,97288,16
2,114275,185
3,951060,155
4,168487,257
5,593455,190
6,744788,45
7,263987,191
8,68951,170
9,1115925,27
10,102091,34
11,536655,64
12,239277,24
13,48627,70
14,382286,189
15,254817,176
16,383406,109
17,363754,221
18,61975,0
19,130875,167
20,655269,59
21,649748,44
22,266812,23
23,305230,92
24,184903,174
25,1466051,43
26,113346,120
27,231305,99
28,80472,21
29,611576,13
30,169664,86
31,385311,66
32,67281,247
33,84237,236
34,72778,96
35,55386,239
36,104249,205
37,38451,47
38,40992,146
39,394628,163
40,38383,175
41,323955,165
42,130358,35
43,64461,31
44,101715,126
45,270709,65
46,379652,9
47,68969,200
48,454309,1
49,479405,2
50,,3
51,,4
52,415314,5
53,1370900,6
54,641577,7
55,1051459,8
56,,10
57,5470818,11
58,4775459,12
59,2068387,14
60,2234797,15
61,1597101,17
62,615899,18
63,4503613,19
64,439255,20
65,,22
66,480188,25
67,708012,26
68,,28
69,3222610,29
70,761202,30
71,20671,32
72,350020,33
73,5000056,36
74,903962,37
75,,38
76,29216,39
77,1424161,40
78,95169,41
79,,42
80,75869,46
81,316317,48
82,923795,49
83,149624,50
84,1380735,51
85,,52
86,,53
87,2778781,54
88,2121420,55
89,5809829,56
90,165031,57
91,691685,58
92,332895,60
93,909239,61
94,549973,63
95,555806,62
96,1943327,67
97,,68
98,1763849,69
99,3859433,71
100,2444653,72
101,833210,74
102,891242,73
103,3507915,75
104,,76
105,434952,77
106,4513279,78
107,143126,79
108,4153387,80
109,,81
110,1075193,82
111,53628,83
112,401025,84
113,4540831,85
114,,87
115,2257342,88
116,,89
117,839116,90
118,,91
119,41710,93
120,53379,94
121,366342,95
122,83192,97
123,4117966,98
124,3617332,100
125,1451668,101
126,547776,102
127,4541104,107
128,434507,103
129,186336,104
130,92442,105
131,126008,106
132,,110
133,511925,111
134,6529238,112
135,,113
136,3311678,114
137,3384939,115
138,500071,116
139,4715037,117
140,397604,118
141,1061668,119
142,161558,121
143,,122
144,2502280,123
145,379623,124
146,3588858,125
147,153122,127
148,768928,128
149,934214,129
150,900373,130
151,926759,131
152,1432126,132
153,88913,133
154,704549,134
155,137027,135
156,36716,136
157,,137
158,,138
159,1523127,139
160,422496,140
161,58175,141
162,201845,142
163,10640857,143
164,5586018,144
165,509384,145
166,49366,147
167,1087839,148
168,722162,149
169,72081,150
170,2435143,151
171,334457,152
172,,153
173,946894,154
174,279336,156
175,754317,157
176,,159
177,,158
178,464610,160
179,197826,161
180,,162
181,725999,164
182,51147,166
183,600004,168
184,1115899,169
185,5126847,171
186,,172
187,3680140,173
188,5147947,177
189,,178
190,8949284,179
191,,180
192,3745665,181
193,1596594,182
194,1359657,183
195,323598,184
196,1041009,186
197,1075094,187
198,,188
199,1465012,192
200,2196047,193
201,4135931,194
202,148656,195
203,,196
204,7468662,197
205,953066,198
206,1103881,199
207,364101,201
208,,202
209,129286,203
210,2131281,204
211,566111,206
212,1361788,207
213,49056,208
214,5185508,209
215,,210
216,1864315,211
217,2377856,212
218,1211059,213
219,147536,214
220,,215
221,759336,216
222,159893,217
223,159893,218
224,71770,219
225,3058755,220
226,1508077,222
227,682261,223
228,,224
229,657545,225
230,165999,226
231,165888,228
232,165999,227
233,180766,229
234,911487,230
235,405728,231
236,5518604,232
237,7553147,233
238,,234
239,93291,235
240,577514,237
241,98351,238
242,370024,240
243,1669603,241
244,432854,242
245,1152271,243
246,693284,244
247,,245
248,370631,246
249,282585,248
250,3931326,249
251,4118768,250
252,5163807,251
253,761120,252
254,1394390,253
255,185672,254
256,282319,255
257,,256
258,,258
259,264897,259
260,1019362,260
261,77445,261
262,160736,262
263,81456,263
